Population,Latitude,Longitude,Morph
Pachon,22.6,-99.05,Cave
Yerbaniz,22.2,-98.97,Cave
Japonis,22.1,-98.95,Cave
Arroyo,22.2,-98.97,Cave
Tinaja,22.08,-98.95,Cave
Curva,21.98,-98.93,Cave
Toro,21.85,-98.93,Cave
Chica,21.85,-98.93,Cave
Molino,23.06,-99.16,Cave
Caballo Moro,22.92,-99.2,Cave
Subterraneo,22.1,-99.18,Surface
Rio Frio,22.99,-99.15,Surface
Arroyo Sarco,22.02,-99.32,Surface
Chamal,22.84,-99.2,Surface
Rio Meco,22.82,-99.31,Surface
Rio Tantaon,22.37,-98.9,Surface
Rio Florido,21.98,-98.77,Surface
Rio Tampaon,21.85,-98.94,Surface
Nacimiento del Rio Santa Clara,22.5,-98.9,Surface
San Rafael Los Castros,22.75,-99.02,Surface
Rio Subterraneo Valley,22.13,-99.17,Surface
Rascon,21.975,-99.2578,Surface
Rio Choy,21.9998,-98.7785,Surface
